sample_id,history_len,target_sid,target_rank,exact_hit,prefix_hit,first_err_pos,legal_top20
154,0,"[58, 54, 158, 0]",-1,0,0,0,1
155,0,"[12, 44, 73, 0]",-1,0,0,0,1
156,0,"[3, 124, 191, 0]",-1,0,0,0,1
157,0,"[10, 6, 58, 0]",-1,0,0,0,1
158,0,"[31, 19, 163, 0]",-1,0,0,0,1
159,0,"[13, 91, 7, 0]",-1,0,0,0,1
160,0,"[34, 36, 126, 0]",-1,0,0,0,1
161,0,"[48, 24, 249, 0]",-1,0,0,0,1
162,0,"[57, 20, 25, 0]",-1,0,0,0,1
163,0,"[48, 122, 156, 0]",-1,0,0,0,1
164,0,"[55, 54, 176, 0]",-1,0,0,0,1
165,0,"[49, 35, 35, 0]",-1,0,0,0,1
166,0,"[61, 79, 191, 0]",-1,0,0,0,1
167,0,"[51, 75, 216, 0]",-1,0,0,0,1
168,0,"[1, 112, 63, 0]",-1,0,0,0,1
169,0,"[9, 88, 149, 0]",-1,0,0,0,1
170,0,"[1, 32, 251, 0]",-1,0,0,0,1
171,0,"[20, 52, 195, 0]",-1,0,0,0,1
172,0,"[30, 111, 48, 0]",-1,0,0,0,1
173,0,"[22, 88, 200, 0]",-1,0,0,0,1
174,0,"[48, 105, 210, 0]",-1,0,0,0,1
175,0,"[51, 2, 97, 0]",-1,0,0,0,1
176,0,"[56, 122, 82, 0]",-1,0,0,0,1
177,0,"[1, 64, 80, 0]",-1,0,0,0,1
178,0,"[4, 114, 208, 0]",-1,0,0,0,1
179,0,"[30, 25, 219, 0]",-1,0,0,0,1
180,0,"[4, 106, 146, 0]",-1,0,0,0,1
181,0,"[48, 55, 175, 0]",-1,0,0,0,1
182,0,"[47, 3, 253, 0]",-1,0,0,0,1
183,0,"[19, 45, 163, 0]",-1,0,0,0,1
184,0,"[40, 88, 221, 0]",-1,0,0,0,1
185,0,"[49, 102, 85, 0]",-1,0,0,0,1
186,0,"[39, 42, 4, 0]",-1,0,0,0,1
187,0,"[13, 67, 149, 0]",-1,0,0,0,1
188,0,"[62, 111, 123, 0]",-1,0,0,0,1
189,0,"[53, 100, 213, 0]",-1,0,0,0,1
190,0,"[5, 91, 64, 0]",-1,0,0,0,1
191,0,"[61, 102, 36, 0]",-1,0,0,0,1
192,0,"[55, 54, 180, 0]",-1,0,0,0,1
193,0,"[52, 101, 18, 0]",-1,0,0,0,1
194,0,"[4, 46, 59, 0]",-1,0,0,0,1
195,0,"[18, 111, 28, 0]",-1,0,0,0,1
196,0,"[44, 31, 101, 0]",-1,0,0,0,1
197,0,"[37, 60, 27, 0]",-1,0,0,0,1
198,0,"[10, 87, 187, 0]",-1,0,0,0,1
199,0,"[2, 75, 220, 0]",-1,0,0,0,1
200,0,"[62, 108, 122, 0]",-1,0,0,0,1
201,0,"[20, 52, 48, 0]",-1,0,0,0,1
202,0,"[16, 22, 147, 0]",-1,0,0,0,1
203,0,"[1, 123, 172, 0]",-1,0,0,0,1
204,0,"[14, 84, 161, 0]",-1,0,0,0,1
205,0,"[58, 53, 44, 0]",-1,0,0,0,1
206,0,"[23, 80, 188, 0]",-1,0,0,0,1
207,0,"[29, 68, 18, 0]",-1,0,0,0,1
208,0,"[4, 22, 239, 0]",-1,0,0,0,1
209,0,"[33, 98, 51, 0]",-1,0,0,0,1
210,0,"[24, 43, 204, 0]",-1,0,0,0,1
211,0,"[20, 70, 11, 0]",-1,0,0,0,1
212,0,"[22, 119, 249, 0]",-1,0,0,0,1
213,0,"[53, 78, 237, 0]",-1,0,0,0,1
214,0,"[43, 106, 150, 0]",-1,0,0,0,1
215,0,"[0, 15, 127, 0]",-1,0,0,1,1
216,0,"[38, 74, 151, 0]",-1,0,0,0,1
217,0,"[38, 84, 192, 0]",-1,0,0,0,1
218,0,"[52, 51, 7, 0]",-1,0,0,0,1
219,0,"[51, 96, 185, 0]",-1,0,0,0,1
220,0,"[46, 110, 83, 0]",-1,0,0,0,1
221,0,"[38, 74, 2, 0]",-1,0,0,0,1
222,0,"[48, 101, 163, 0]",-1,0,0,0,1
223,0,"[59, 116, 53, 0]",-1,0,0,0,1
224,0,"[24, 78, 41, 0]",-1,0,0,0,1
225,0,"[52, 6, 150, 0]",-1,0,0,0,1
226,0,"[14, 89, 90, 0]",-1,0,0,0,1
227,0,"[62, 31, 102, 0]",-1,0,0,0,1
228,0,"[63, 93, 245, 0]",-1,0,0,0,1
229,0,"[10, 79, 191, 0]",-1,0,0,0,1
230,0,"[52, 70, 64, 0]",-1,0,0,0,1
231,0,"[52, 125, 155, 0]",-1,0,0,0,1
232,0,"[42, 25, 14, 0]",-1,0,0,0,1
233,0,"[23, 119, 218, 0]",-1,0,0,0,1
234,0,"[37, 66, 11, 0]",-1,0,0,0,1
235,0,"[12, 12, 69, 0]",-1,0,0,0,1
236,0,"[38, 74, 151, 0]",-1,0,0,0,1
237,0,"[52, 123, 118, 0]",-1,0,0,0,1
238,0,"[16, 62, 253, 0]",-1,0,0,0,1
239,0,"[48, 122, 156, 0]",-1,0,0,0,1
240,0,"[62, 18, 85, 0]",-1,0,0,0,1
241,0,"[2, 58, 230, 0]",-1,0,0,0,1
242,0,"[33, 72, 32, 0]",-1,0,0,0,1
243,0,"[38, 23, 15, 0]",-1,0,0,0,1
244,0,"[52, 51, 7, 0]",-1,0,0,0,1
245,0,"[36, 60, 132, 0]",-1,0,0,0,1
246,0,"[43, 23, 116, 0]",-1,0,0,0,1
247,0,"[4, 88, 66, 0]",-1,0,0,0,1
248,0,"[5, 9, 167, 0]",-1,0,0,0,1
249,0,"[12, 107, 121, 0]",-1,0,0,0,1
250,0,"[35, 5, 63, 0]",-1,0,0,0,1
251,0,"[50, 13, 142, 0]",-1,0,0,0,1
252,0,"[13, 110, 20, 0]",-1,0,0,0,1
253,0,"[53, 69, 191, 0]",-1,0,0,0,1
254,0,"[44, 105, 249, 0]",-1,0,0,0,1
255,0,"[49, 115, 167, 0]",-1,0,0,0,1
256,0,"[40, 97, 200, 0]",-1,0,0,0,1
257,0,"[56, 37, 145, 0]",-1,0,0,0,1
258,0,"[59, 36, 175, 0]",-1,0,0,0,1
259,0,"[5, 122, 66, 0]",-1,0,0,0,1
260,0,"[6, 106, 113, 0]",-1,0,0,0,1
261,0,"[61, 27, 151, 0]",-1,0,0,0,1
262,0,"[51, 29, 202, 0]",-1,0,0,0,1
263,0,"[10, 12, 98, 0]",-1,0,0,0,1
264,0,"[32, 83, 167, 0]",-1,0,0,0,1
265,0,"[40, 97, 200, 0]",-1,0,0,0,1
266,0,"[28, 10, 125, 0]",-1,0,0,0,1
267,0,"[5, 120, 223, 0]",-1,0,0,0,1
268,0,"[9, 124, 142, 0]",-1,0,0,0,1
269,0,"[45, 11, 136, 0]",-1,0,0,0,1
270,0,"[3, 102, 198, 0]",-1,0,0,0,1
271,0,"[53, 64, 175, 0]",-1,0,0,0,1
272,0,"[27, 105, 24, 0]",-1,0,0,0,1
273,0,"[43, 111, 182, 0]",-1,0,0,0,1
274,0,"[51, 48, 46, 0]",-1,0,0,0,1
275,0,"[9, 17, 14, 0]",-1,0,0,0,1
276,0,"[0, 42, 153, 0]",-1,0,0,1,1
277,0,"[61, 108, 117, 0]",-1,0,0,0,1
278,0,"[54, 68, 43, 0]",-1,0,0,0,1
279,0,"[10, 12, 98, 0]",-1,0,0,0,1
280,0,"[0, 19, 217, 0]",-1,0,0,1,1
281,0,"[61, 106, 77, 0]",-1,0,0,0,1
282,0,"[24, 65, 236, 0]",-1,0,0,0,1
283,0,"[62, 75, 59, 0]",-1,0,0,0,1
284,0,"[37, 77, 3, 0]",-1,0,0,0,1
285,0,"[59, 91, 70, 0]",-1,0,0,0,1
286,0,"[41, 85, 198, 0]",-1,0,0,0,1
287,0,"[15, 74, 113, 0]",-1,0,0,0,1
288,0,"[0, 45, 230, 0]",-1,0,0,1,1
289,0,"[46, 49, 97, 0]",-1,0,0,0,1
290,0,"[60, 7, 61, 0]",-1,0,0,0,1
291,0,"[56, 107, 12, 0]",-1,0,0,0,1
292,0,"[59, 66, 204, 0]",-1,0,0,0,1
293,0,"[32, 39, 65, 0]",-1,0,0,0,1
294,0,"[49, 23, 89, 0]",-1,0,0,0,1
295,0,"[52, 4, 177, 0]",-1,0,0,0,1
296,0,"[40, 6, 230, 0]",-1,0,0,0,1
297,0,"[34, 60, 120, 0]",-1,0,0,0,1
298,0,"[13, 102, 123, 0]",-1,0,0,0,1
299,0,"[51, 79, 41, 0]",-1,0,0,0,1
300,0,"[55, 89, 119, 0]",-1,0,0,0,1
301,0,"[56, 5, 13, 0]",-1,0,0,0,1
302,0,"[14, 89, 71, 0]",-1,0,0,0,1
303,0,"[61, 72, 210, 0]",-1,0,0,0,1
304,0,"[55, 42, 249, 0]",-1,0,0,0,1
305,0,"[20, 66, 0, 0]",-1,0,0,0,1
306,0,"[9, 63, 232, 0]",-1,0,0,0,1
307,0,"[56, 5, 247, 0]",-1,0,0,0,1
308,0,"[14, 34, 227, 0]",-1,0,0,0,1
309,0,"[44, 26, 126, 0]",-1,0,0,0,1
310,0,"[49, 42, 73, 0]",-1,0,0,0,1
311,0,"[4, 41, 196, 0]",-1,0,0,0,1
312,0,"[14, 115, 79, 0]",-1,0,0,0,1
313,0,"[17, 44, 2, 0]",-1,0,0,0,1
314,0,"[1, 20, 85, 0]",-1,0,0,0,1
315,0,"[30, 79, 46, 0]",-1,0,0,0,1
316,0,"[39, 103, 110, 0]",-1,0,0,0,1
317,0,"[35, 28, 233, 0]",-1,0,0,0,1
318,0,"[31, 2, 185, 0]",-1,0,0,0,1
319,0,"[6, 25, 213, 0]",-1,0,0,0,1
320,0,"[18, 46, 142, 0]",-1,0,0,0,1
321,0,"[16, 34, 179, 0]",-1,0,0,0,1
322,0,"[58, 100, 206, 0]",-1,0,0,0,1
323,0,"[19, 60, 111, 0]",-1,0,0,0,1
324,0,"[7, 26, 175, 0]",-1,0,0,0,1
325,0,"[18, 78, 23, 0]",-1,0,0,0,1
326,0,"[13, 70, 244, 0]",-1,0,0,0,1
327,0,"[2, 75, 16, 0]",-1,0,0,0,1
328,0,"[52, 51, 200, 0]",-1,0,0,0,1
329,0,"[31, 42, 107, 0]",-1,0,0,0,1
330,0,"[34, 47, 122, 0]",-1,0,0,0,1
331,0,"[5, 60, 28, 0]",-1,0,0,0,1
332,0,"[57, 120, 70, 0]",-1,0,0,0,1
333,0,"[32, 67, 224, 0]",-1,0,0,0,1
334,0,"[16, 21, 202, 0]",-1,0,0,0,1
335,0,"[16, 76, 23, 0]",-1,0,0,0,1
336,0,"[22, 37, 95, 0]",-1,0,0,0,1
337,0,"[18, 14, 150, 0]",-1,0,0,0,1
338,0,"[14, 116, 199, 0]",-1,0,0,0,1
339,0,"[55, 75, 187, 0]",-1,0,0,0,1
340,0,"[38, 87, 252, 0]",-1,0,0,0,1
341,0,"[49, 115, 126, 0]",-1,0,0,0,1
