sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
275,0,0,0,0,0,0,1,1,0,0,21,21
276,0,0,0,0,1,1,1,1,0,0,21,21
277,0,0,0,0,0,1,1,1,0,0,21,21
278,0,0,0,0,0,0,1,1,0,0,21,21
279,0,0,0,0,0,1,1,1,0,0,21,21
280,0,0,0,0,1,0,1,1,0,0,21,21
281,0,0,0,0,0,1,1,1,0,0,21,21
282,0,0,0,0,0,0,1,1,0,0,21,21
283,0,0,0,0,0,1,1,1,0,0,21,21
284,0,0,0,0,0,1,1,1,0,0,21,21
285,0,0,0,0,0,1,1,1,0,0,21,21
286,0,0,0,0,0,1,1,1,0,0,21,21
287,0,0,0,0,0,1,1,1,0,0,21,21
288,0,0,0,0,1,0,1,1,0,0,21,21
289,0,0,0,0,0,1,1,1,0,0,21,21
290,0,0,0,0,0,0,1,1,0,0,21,21
291,0,1,0,1,0,1,1,1,0,0,21,6
292,0,0,0,0,0,1,1,1,0,0,21,21
293,0,0,0,0,0,0,1,1,0,0,21,21
294,0,0,0,0,0,1,1,1,0,0,21,21
295,0,0,0,0,0,1,1,1,0,0,21,21
296,0,0,0,0,0,0,1,1,0,0,21,21
297,0,0,0,0,0,1,1,1,0,0,21,21
298,0,0,0,0,0,0,1,1,0,0,21,21
299,0,0,0,0,0,1,1,1,0,0,21,21
300,0,0,0,0,0,1,1,1,0,0,21,21
301,0,0,0,0,0,0,1,1,0,0,21,21
302,0,1,0,1,0,1,1,1,0,0,21,7
303,0,1,0,1,0,1,1,1,0,0,21,3
304,0,0,0,0,0,0,1,1,0,0,21,21
305,0,1,0,1,0,1,1,1,0,0,21,19
306,0,0,0,0,0,1,1,1,0,0,21,21
307,0,0,0,0,0,1,1,1,0,0,21,21
308,0,0,0,0,0,1,1,1,0,0,21,21
309,0,0,0,0,0,0,1,1,0,0,21,21
310,0,0,0,0,0,0,1,1,0,0,21,21
311,0,0,0,0,0,0,1,1,0,0,21,21
312,0,0,0,0,0,0,1,1,0,0,21,21
313,0,0,0,0,0,0,1,1,0,0,21,21
314,0,1,0,1,0,1,1,1,0,0,21,5
315,0,0,0,0,0,1,1,1,0,0,21,21
316,0,0,0,0,0,1,1,1,0,0,21,21
317,0,0,0,0,0,1,1,1,0,0,21,21
318,0,0,0,0,0,0,1,1,0,0,21,21
319,0,0,0,0,0,0,1,1,0,0,21,21
320,0,0,0,0,0,0,1,1,0,0,21,21
321,0,0,0,0,0,1,1,1,0,0,21,21
322,0,1,0,1,0,1,1,1,0,0,21,18
323,0,0,0,0,0,0,1,1,0,0,21,21
324,0,1,0,1,0,1,1,1,0,1,21,1
