sample_idx,target_item,hit_top20,sid_L0,sid_L1,sid_L2,sid_L3,L0_freq,L1_freq,L2_freq,L3_freq,L2_uniqueness,item_knn_mean_dist,item_popularity,text_emb_norm
123,1328,0,36,118,157,0,0,0,0,0,1.0,0.0,0,0.49391189217567444
124,1334,0,33,86,228,0,0,0,0,0,1.0,0.0,0,0.5151398777961731
125,1338,0,49,63,150,0,0,0,0,0,1.0,0.0,0,0.5432010293006897
126,1349,0,29,120,142,0,0,0,0,0,1.0,0.0,0,0.5292142629623413
127,1042,1,42,95,122,0,0,0,0,0,1.0,0.0,0,0.5169296860694885
128,1366,0,17,88,81,0,0,0,0,0,1.0,0.0,0,0.5095371603965759
129,515,0,36,113,217,0,0,0,0,0,1.0,0.0,0,0.47931408882141113
130,1378,0,13,2,154,0,0,0,0,0,1.0,0.0,0,0.4458184242248535
131,1379,0,3,10,49,0,0,0,0,0,1.0,0.0,0,0.4343464970588684
132,1323,0,24,82,236,0,0,0,0,0,1.0,0.0,0,0.47059667110443115
133,1389,0,53,64,228,0,0,0,0,0,1.0,0.0,0,0.49514928460121155
134,1411,1,44,27,171,0,0,0,0,0,1.0,0.0,0,0.49624136090278625
135,970,0,48,122,156,0,0,0,0,0,1.0,0.0,0,0.47176098823547363
136,650,1,62,111,123,0,0,0,0,0,1.0,0.0,0,0.5524329543113708
137,1435,0,23,59,74,0,0,0,0,0,1.0,0.0,0,0.5547489523887634
138,1445,0,50,32,154,0,0,0,0,0,1.0,0.0,0,0.4761791527271271
139,1462,0,7,29,149,0,0,0,0,0,1.0,0.0,0,0.47447365522384644
140,1465,0,51,52,213,0,0,0,0,0,1.0,0.0,0,0.42840710282325745
141,229,0,51,126,96,0,0,0,35,0,1.0,0.0,0,0.4573110342025757
142,1471,0,62,107,192,0,0,0,0,0,1.0,0.0,0,0.508608877658844
143,212,0,1,75,152,0,0,0,37,0,0.5,0.0,0,0.45178359746932983
144,1482,0,15,40,184,0,0,0,0,0,1.0,0.0,0,0.4657900631427765
145,1507,0,20,52,7,0,0,0,0,0,1.0,0.0,0,0.48960164189338684
146,492,0,10,57,99,0,0,0,0,0,1.0,0.0,0,0.5241163372993469
147,1517,1,7,101,156,0,0,0,0,0,1.0,0.0,0,0.4279319643974304
148,1522,0,30,16,8,0,0,0,0,0,1.0,0.0,0,0.49084997177124023
149,3,0,19,78,199,0,199,72,53,1,1.0,0.0,0,0.5426928400993347
150,566,0,38,35,66,0,0,0,0,0,1.0,0.0,0,0.5116235017776489
151,958,0,37,60,4,0,0,0,0,0,1.0,0.0,0,0.5136327147483826
152,564,0,10,12,98,0,0,0,0,0,1.0,0.0,0,0.5766150951385498
153,1540,0,36,44,9,0,0,0,0,0,1.0,0.0,0,0.4329915940761566
154,1548,0,58,54,158,0,0,0,0,0,1.0,0.0,0,0.45140403509140015
155,157,0,12,44,73,0,0,0,38,0,1.0,0.0,0,0.5430155396461487
156,1561,0,3,124,191,0,0,0,0,0,1.0,0.0,0,0.45328453183174133
157,1573,0,10,6,58,0,0,0,0,0,1.0,0.0,0,0.5406342148780823
158,1586,0,31,19,163,0,0,0,0,0,1.0,0.0,0,0.43298426270484924
159,1593,0,13,91,7,0,0,0,0,0,1.0,0.0,0,0.5013661980628967
160,1600,0,34,36,126,0,0,0,0,0,1.0,0.0,0,0.46387195587158203
161,1605,0,48,24,249,0,0,0,0,0,1.0,0.0,0,0.6374610066413879
162,1609,0,57,20,25,0,0,0,0,0,1.0,0.0,0,0.49734294414520264
163,970,0,48,122,156,0,0,0,0,0,1.0,0.0,0,0.47176098823547363
164,1636,0,55,54,176,0,0,0,0,0,1.0,0.0,0,0.5513360500335693
165,320,0,49,35,35,0,0,0,0,0,1.0,0.0,0,0.5148617625236511
166,1642,0,61,79,191,0,0,0,0,0,1.0,0.0,0,0.4542946219444275
167,1649,0,51,75,216,0,0,0,0,0,1.0,0.0,0,0.43236371874809265
168,1080,0,1,112,63,0,0,0,0,0,1.0,0.0,0,0.459850013256073
169,1663,0,9,88,149,0,0,0,0,0,1.0,0.0,0,0.5199081897735596
170,220,0,1,32,251,0,0,0,58,0,1.0,0.0,0,0.4175519347190857
171,204,1,20,52,195,0,0,0,57,0,1.0,0.0,0,0.5542095899581909
172,1524,0,30,111,48,0,0,0,0,0,1.0,0.0,0,0.43119481205940247
173,1342,0,22,88,200,0,0,0,0,0,1.0,0.0,0,0.5912263989448547
174,1685,0,48,105,210,0,0,0,0,0,1.0,0.0,0,0.532705545425415
175,1693,0,51,2,97,0,0,0,0,0,1.0,0.0,0,0.4804348647594452
176,1701,0,56,122,82,0,0,0,0,0,1.0,0.0,0,0.4756796658039093
177,1714,0,1,64,80,0,0,0,0,0,1.0,0.0,0,0.5058420896530151
178,149,0,4,114,208,0,0,0,38,0,1.0,0.0,0,0.5258765816688538
179,1723,0,30,25,219,0,0,0,0,0,1.0,0.0,0,0.46474188566207886
180,1728,0,4,106,146,0,0,0,0,0,1.0,0.0,0,0.5313456654548645
181,1644,0,48,55,175,0,0,0,0,0,1.0,0.0,0,0.4964040517807007
182,1754,0,47,3,253,0,0,0,0,0,1.0,0.0,0,0.5132234692573547
183,780,0,19,45,163,0,0,0,0,0,1.0,0.33073462282823396,0,0.5719040632247925
184,1759,0,40,88,221,0,0,0,0,0,1.0,0.0,0,0.4819554090499878
185,1766,0,49,102,85,0,0,0,0,0,1.0,0.0,0,0.440957635641098
186,180,1,39,42,4,0,0,0,32,0,1.0,0.0,0,0.5106080770492554
187,1781,0,13,67,149,0,0,0,0,0,1.0,0.0,0,0.5016582012176514
188,650,0,62,111,123,0,0,0,0,0,1.0,0.0,0,0.5524329543113708
189,1785,0,53,100,213,0,0,0,0,0,1.0,0.0,0,0.5398064255714417
190,1788,0,5,91,64,0,0,0,0,0,1.0,0.0,0,0.5542089343070984
191,1189,0,61,102,36,0,0,0,0,0,1.0,0.0,0,0.4695289433002472
192,1805,0,55,54,180,0,0,0,0,0,1.0,0.0,0,0.6065897941589355
193,1810,0,52,101,18,0,0,0,0,0,1.0,0.0,0,0.4699605703353882
194,69,1,4,46,59,0,0,102,39,0,1.0,0.0,0,0.509041428565979
195,1819,0,18,111,28,0,0,0,0,0,1.0,0.0,0,0.5504110455513
196,1833,0,44,31,101,0,0,0,0,0,1.0,0.0,0,0.44838178157806396
197,712,1,37,60,27,0,0,0,0,0,1.0,0.0,0,0.5024939179420471
198,1839,0,10,87,187,0,0,0,0,0,1.0,0.0,0,0.540256917476654
199,27,0,2,75,220,0,109,110,50,0,1.0,0.0,0,0.45833268761634827
200,881,0,62,108,122,0,0,0,0,0,1.0,0.0,0,0.5037887096405029
201,1860,0,20,52,48,0,0,0,0,0,1.0,0.0,0,0.5214711427688599
202,1868,0,16,22,147,0,0,0,0,0,1.0,0.0,0,0.4601445496082306
203,1871,0,1,123,172,0,0,0,0,0,1.0,0.0,0,0.5411794185638428
204,1879,0,14,84,161,0,0,0,0,0,1.0,0.0,0,0.5016582608222961
205,1469,0,58,53,44,0,0,0,0,0,1.0,0.0,0,0.4990919828414917
206,1910,0,23,80,188,0,0,0,0,0,1.0,0.0,0,0.488014817237854
207,1916,0,29,68,18,0,0,0,0,0,1.0,0.0,0,0.4457213580608368
208,1921,0,4,22,239,0,0,0,0,0,1.0,0.0,0,0.5252364277839661
209,1496,0,33,98,51,0,0,0,0,0,1.0,0.0,0,0.47423434257507324
210,1956,0,24,43,204,0,0,0,0,0,1.0,0.0,0,0.5507908463478088
211,2000,0,20,70,11,0,0,0,0,0,1.0,0.0,0,0.5494133830070496
212,2003,0,22,119,249,0,0,0,0,0,1.0,0.0,0,0.5454313158988953
213,34,0,53,78,237,0,211,92,40,0,1.0,0.0,0,0.5261288285255432
214,2011,0,43,106,150,0,0,0,0,0,1.0,0.0,0,0.5790266394615173
215,2024,0,0,15,127,0,0,0,0,0,1.0,0.0,0,0.4446665346622467
216,164,1,38,74,151,0,0,0,23,0,1.0,0.0,0,0.5326740741729736
217,162,1,38,84,192,0,0,0,45,0,1.0,0.0,0,0.4820476174354553
218,1403,0,52,51,7,0,0,0,0,0,1.0,0.0,0,0.4752500057220459
219,230,0,51,96,185,0,0,0,50,0,1.0,0.0,0,0.5332373976707458
220,2038,0,46,110,83,0,0,0,0,0,1.0,0.0,0,0.48718664050102234
221,161,1,38,74,2,0,0,0,37,0,1.0,0.0,0,0.4813917577266693
222,2049,0,48,101,163,0,0,0,0,0,1.0,0.0,0,0.5066095590591431
223,899,0,59,116,53,0,0,0,0,0,1.0,0.0,0,0.5623137354850769
224,2070,0,24,78,41,0,0,0,0,0,1.0,0.0,0,0.5352300405502319
225,2023,0,52,6,150,0,0,0,0,0,1.0,0.0,0,0.4442816376686096
226,2130,0,14,89,90,0,0,0,0,0,1.0,0.0,0,0.5791356563568115
227,2135,0,62,31,102,0,0,0,0,0,1.0,0.0,0,0.5382406711578369
228,2139,0,63,93,245,0,0,0,0,0,1.0,0.0,0,0.4797353148460388
229,484,0,10,79,191,0,0,0,0,0,1.0,0.0,0,0.5205761194229126
230,1153,0,52,70,64,0,0,0,0,0,1.0,0.0,0,0.4705032706260681
231,2158,0,52,125,155,0,0,0,0,0,1.0,0.0,0,0.5119577646255493
232,2172,0,42,25,14,0,0,0,0,0,1.0,0.0,0,0.5913045406341553
233,2177,0,23,119,218,0,0,0,0,0,1.0,0.0,0,0.4793621897697449
234,1361,0,37,66,11,0,0,0,0,0,1.0,0.0,0,0.5030814409255981
235,2182,0,12,12,69,0,0,0,0,0,1.0,0.0,0,0.49567556381225586
236,164,1,38,74,151,0,0,0,23,0,1.0,0.0,0,0.5326740741729736
237,2188,0,52,123,118,0,0,0,0,0,1.0,0.0,0,0.4947359561920166
238,450,0,16,62,253,0,0,0,0,0,1.0,0.0,0,0.5420675873756409
239,970,0,48,122,156,0,0,0,0,0,1.0,0.0,0,0.47176098823547363
240,243,0,62,18,85,0,0,0,37,0,1.0,0.0,0,0.5968344211578369
241,2216,0,2,58,230,0,0,0,0,0,1.0,0.3629601707849469,0,0.419708788394928
242,2221,0,33,72,32,0,0,0,0,0,1.0,0.0,0,0.528609037399292
243,2226,0,38,23,15,0,0,0,0,0,1.0,0.0,0,0.5354788899421692
244,1403,0,52,51,7,0,0,0,0,0,1.0,0.0,0,0.4752500057220459
245,1223,0,36,60,132,0,0,0,0,0,1.0,0.0,0,0.44557589292526245
246,1070,0,43,23,116,0,0,0,0,0,1.0,0.0,0,0.5611916780471802
247,2258,0,4,88,66,0,0,0,0,0,1.0,0.0,0,0.4778948724269867
248,2260,0,5,9,167,0,0,0,0,0,1.0,0.0,0,0.44392192363739014
249,2262,0,12,107,121,0,0,0,0,0,1.0,0.0,0,0.4644101858139038
250,2265,0,35,5,63,0,0,0,0,0,1.0,0.0,0,0.4660632312297821
251,2271,0,50,13,142,0,0,0,0,0,1.0,0.0,0,0.4490540027618408
252,39,0,13,110,20,0,161,42,32,0,1.0,0.0,0,0.45804691314697266
253,461,0,53,69,191,0,0,0,0,0,1.0,0.0,0,0.45658114552497864
254,480,0,44,105,249,0,0,0,0,0,1.0,0.0,0,0.5150925517082214
255,319,0,49,115,167,0,0,0,0,0,1.0,0.0,0,0.4586521089076996
256,1757,0,40,97,200,0,0,0,0,0,1.0,0.0,0,0.461751252412796
257,2392,0,56,37,145,0,0,0,0,0,1.0,0.0,0,0.5277563333511353
258,2397,0,59,36,175,0,0,0,0,0,1.0,0.0,0,0.4754185378551483
259,2409,0,5,122,66,0,0,0,0,0,1.0,0.0,0,0.5285452008247375
260,245,0,6,106,113,0,0,0,44,0,1.0,0.0,0,0.48502326011657715
261,595,0,61,27,151,0,0,0,0,0,1.0,0.0,0,0.4474982023239136
262,2430,0,51,29,202,0,0,0,0,0,1.0,0.0,0,0.4681307375431061
263,564,0,10,12,98,0,0,0,0,0,1.0,0.0,0,0.5766150951385498
264,2438,0,32,83,167,0,0,0,0,0,1.0,0.0,0,0.49491679668426514
265,1757,0,40,97,200,0,0,0,0,0,1.0,0.0,0,0.461751252412796
266,2131,0,28,10,125,0,0,0,0,0,1.0,0.0,0,0.5682084560394287
267,2480,0,5,120,223,0,0,0,0,0,1.0,0.0,0,0.49569058418273926
268,125,0,9,124,142,0,0,94,27,0,1.0,0.0,0,0.42531758546829224
269,2495,0,45,11,136,0,0,0,0,0,1.0,0.0,0,0.491091787815094
270,1434,0,3,102,198,0,0,0,0,0,1.0,0.0,0,0.45780229568481445
271,2511,0,53,64,175,0,0,0,0,0,1.0,0.0,0,0.49349817633628845
272,2436,0,27,105,24,0,0,0,0,0,1.0,0.0,0,0.5607244968414307
273,360,0,43,111,182,0,0,0,0,0,1.0,0.0,0,0.5552005171775818
274,2521,0,51,48,46,0,0,0,0,0,1.0,0.0,0,0.5153584480285645
275,2523,0,9,17,14,0,0,0,0,0,1.0,0.0,0,0.5297365188598633
276,2533,0,0,42,153,0,0,0,0,0,1.0,0.0,0,0.546227753162384
277,148,0,61,108,117,0,0,0,41,0,1.0,0.0,0,0.4602101743221283
278,1658,0,54,68,43,0,0,0,0,0,1.0,0.0,0,0.44390037655830383
279,564,0,10,12,98,0,0,0,0,0,1.0,0.0,0,0.5766150951385498
280,1216,0,0,19,217,0,0,0,0,0,1.0,0.0,0,0.48769742250442505
281,535,0,61,106,77,0,0,0,0,0,1.0,0.0,0,0.5300269722938538
282,2567,0,24,65,236,0,0,0,0,0,1.0,0.0,0,0.47623366117477417
283,2570,0,62,75,59,0,0,0,0,0,1.0,0.0,0,0.49831393361091614
284,2577,0,37,77,3,0,0,0,0,0,1.0,0.0,0,0.4760190546512604
285,746,0,59,91,70,0,0,0,0,0,1.0,0.0,0,0.5655488967895508
286,1130,0,41,85,198,0,0,0,0,0,1.0,0.0,0,0.5743764042854309
287,2599,0,15,74,113,0,0,0,0,0,1.0,0.0,0,0.471585214138031
288,2602,0,0,45,230,0,0,0,0,0,1.0,0.0,0,0.49259427189826965
289,2606,0,46,49,97,0,0,0,0,0,1.0,0.0,0,0.5164473652839661
290,2611,0,60,7,61,0,0,0,0,0,1.0,0.0,0,0.536649227142334
291,117,1,56,107,12,0,0,56,55,0,1.0,0.0,0,0.5963327288627625
292,1233,0,59,66,204,0,0,0,0,0,1.0,0.0,0,0.4843723177909851
293,1895,0,32,39,65,0,0,0,0,0,1.0,0.0,0,0.5756927132606506
294,2627,0,49,23,89,0,0,0,0,0,1.0,0.0,0,0.49393537640571594
295,2629,0,52,4,177,0,0,0,0,0,1.0,0.0,0,0.469298779964447
296,1744,0,40,6,230,0,0,0,0,0,1.0,0.0,0,0.5760281682014465
297,2651,0,34,60,120,0,0,0,0,0,1.0,0.0,0,0.45210930705070496
298,2654,0,13,102,123,0,0,0,0,0,1.0,0.0,0,0.43488582968711853
299,1415,0,51,79,41,0,0,0,0,0,1.0,0.0,0,0.5374138355255127
300,2658,0,55,89,119,0,0,0,0,0,1.0,0.0,0,0.5588424801826477
301,2661,0,56,5,13,0,0,0,0,0,1.0,0.0,0,0.49217599630355835
302,2666,1,14,89,71,0,0,0,0,0,1.0,0.0,0,0.6047592163085938
303,46,1,61,72,210,0,187,90,37,0,1.0,0.0,0,0.4839355945587158
304,2678,0,55,42,249,0,0,0,0,0,1.0,0.0,0,0.47522878646850586
305,1578,1,20,66,0,0,0,0,0,0,1.0,0.0,0,0.5912991166114807
306,1519,0,9,63,232,0,0,0,0,0,0.5,0.0,0,0.5362352132797241
307,401,0,56,5,247,0,0,0,0,0,1.0,0.0,0,0.468578040599823
308,2724,0,14,34,227,0,0,0,0,0,1.0,0.2303011608215141,0,0.48983117938041687
309,2439,0,44,26,126,0,0,0,0,0,1.0,0.0,0,0.4827955961227417
310,1635,0,49,42,73,0,0,0,0,0,1.0,0.0,0,0.5225270390510559
311,1177,0,4,41,196,0,0,0,0,0,1.0,0.0,0,0.558227002620697
312,475,0,14,115,79,0,0,0,0,0,1.0,0.0,0,0.5513899922370911
313,2744,0,17,44,2,0,0,0,0,0,0.5,0.0,0,0.5338090062141418
314,1368,1,1,20,85,0,0,0,0,0,1.0,0.0,0,0.47845324873924255
315,2754,0,30,79,46,0,0,0,0,0,1.0,0.0,0,0.4863613247871399
316,267,0,39,103,110,0,0,0,0,0,1.0,0.0,0,0.5671920776367188
317,2762,0,35,28,233,0,0,0,0,0,1.0,0.0,0,0.5536693334579468
318,2766,0,31,2,185,0,0,0,0,0,1.0,0.0,0,0.4863024055957794
319,2770,0,6,25,213,0,0,0,0,0,1.0,0.0,0,0.503811776638031
320,2772,0,18,46,142,0,0,0,0,0,1.0,0.0,0,0.5229156017303467
321,2776,0,16,34,179,0,0,0,0,0,1.0,0.0,0,0.47104761004447937
322,656,1,58,100,206,0,0,0,0,0,1.0,0.0,0,0.4764491319656372
323,880,0,19,60,111,0,0,0,0,0,1.0,0.0,0,0.4811473488807678
