epoch,layer,transport_error
74,0,2.538043331057338e-09
74,1,3.196223952173227e-09
75,0,2.490727846193863e-09
75,1,2.553281586159528e-09
76,0,3.04713232424092e-09
76,1,3.0309088572266774e-09
77,0,2.557150269311137e-09
77,1,2.698408607670899e-09
78,0,2.7597415463986863e-09
78,1,2.9894278164022126e-09
79,0,2.7213562514560863e-09
79,1,2.8988818012720685e-09
80,0,2.843725033230271e-09
80,1,3.042834650912596e-09
81,0,3.3299236701367363e-09
81,1,3.148437954791916e-09
82,0,2.9372255738735475e-09
82,1,3.2049873865958034e-09
83,0,2.5066013709107438e-09
83,1,2.8970625898239177e-09
84,0,3.158878270070886e-09
84,1,3.1886235873912483e-09
85,0,3.1013167589577506e-09
85,1,3.241904522610639e-09
86,0,2.768423046362045e-09
86,1,3.0090288039019697e-09
87,0,2.9404694235068973e-09
87,1,3.2431477503536144e-09
88,0,3.0890883184753193e-09
88,1,3.23300164417617e-09
89,0,3.1942624101333195e-09
89,1,3.0689473184963845e-09
90,0,3.333602949240344e-09
90,1,3.1639129094429563e-09
91,0,2.947499133654219e-09
91,1,3.2565168339715456e-09
92,0,2.8270390473039697e-09
92,1,3.2617983869442924e-09
93,0,3.074076104780943e-09
93,1,3.0538120920908796e-09
94,0,3.0607221201961465e-09
94,1,3.0599811573495117e-09
95,0,3.0357920621781886e-09
95,1,3.1503413211453335e-09
96,0,3.134780879321397e-09
96,1,3.0521059013466356e-09
97,0,2.876175519972435e-09
97,1,3.5075355953040344e-09
98,0,3.299009065926839e-09
98,1,3.126710224066187e-09
99,0,2.764647177855295e-09
99,1,3.3658149600768184e-09
100,0,3.3738920546255713e-09
100,1,3.2828424423314573e-09
101,0,3.0127498273913034e-09
101,1,3.2382636572236834e-09
