epoch,loss,recon,vq,c_l0,c_l1,c_l2,theta_l0,theta_l1,theta_l2
22,0.00014124449880910107,0.00013963579258415847,1.6087063045233664e-06,1.2448890209197998,1.246338963508606,1.2500007152557373,-0.01362942811101675,-0.009762845002114773,1.821284286052105e-06
23,0.00014093907884671353,0.00013935268580098637,1.5863933128912322e-06,1.2448703050613403,1.2463407516479492,1.2500011920928955,-0.01367951463907957,-0.009757922030985355,3.161002041451866e-06
24,0.00014038093358976768,0.00013887231762055308,1.5086163557498367e-06,1.2448526620864868,1.246342658996582,1.2500016689300537,-0.01372651755809784,-0.009753013029694557,4.339276529208291e-06
25,0.00014014595581102185,0.0001384891787893139,1.6567775332987368e-06,1.2448344230651855,1.2463446855545044,1.2500022649765015,-0.013774977065622807,-0.00974749680608511,5.960631369816838e-06
26,0.0001399047607264947,0.00013811306853313,1.7916931085437682e-06,1.244816541671753,1.2463468313217163,1.2500033378601074,-0.013822912238538265,-0.009741720743477345,9.044269063451793e-06
27,0.00013997700589243322,0.0001378091641527135,2.1678430357496836e-06,1.2447996139526367,1.2463493347167969,1.2500048875808716,-0.01386785414069891,-0.009735136292874813,1.3003883395867888e-05
28,0.00014001281961100175,0.00013767700002063066,2.335820533971855e-06,1.2447829246520996,1.246352195739746,1.2500050067901611,-0.013912479393184185,-0.009727735072374344,1.325018638453912e-05
29,0.00013985539990244434,0.0001375237676256802,2.33163155485272e-06,1.2447675466537476,1.2463555335998535,1.2500059604644775,-0.013953477144241333,-0.00971876922994852,1.5731608073110692e-05
30,0.00013987275742692872,0.00013743008166784422,2.44267659468278e-06,1.2447526454925537,1.2463585138320923,1.2500076293945312,-0.013993378728628159,-0.009710821323096752,2.0394340026541613e-05
31,0.00014003063479322008,0.00013733656815020367,2.6940675127207213e-06,1.2447361946105957,1.246361255645752,1.2500085830688477,-0.014036944136023521,-0.009703588671982288,2.2968213670537807e-05
32,0.000140473734063562,0.00013735404645558446,3.1196876420835905e-06,1.2447227239608765,1.246364712715149,1.2500112056732178,-0.014072936028242111,-0.009694279171526432,2.9866359909647144e-05
33,0.0001401743596943561,0.00013709520426345988,3.079154032548104e-06,1.244710922241211,1.246368408203125,1.2500132322311401,-0.014104779809713364,-0.009684156626462936,3.537258453434333e-05
