step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
85,0.05629877746105194,0.05629877746105194,0.05629877746105194,1.014070987701416,1.014070987701416,1.014070987701416,0.0,0.11960913985967636,0,1.2829244042222854e-05,True,2.4813778809473774e-10
90,0.056002043187618256,0.056002043187618256,0.056002043187618256,1.0139968395233154,1.0139968395233154,1.0139968395233154,0.0,0.12692977488040924,0,2.1305062546161935e-05,True,3.2912561565012766e-09
95,0.05623672530055046,0.05623672530055046,0.05623672530055046,1.0140554904937744,1.0140554904937744,1.0140554904937744,0.0,0.13072068989276886,0,6.914040568517521e-06,True,2.2119892723049261e-13
100,0.05622481182217598,0.05622481182217598,0.05622481182217598,1.0140525102615356,1.0140525102615356,1.0140525102615356,0.0,0.13757094740867615,0,7.0286109803419095e-06,True,6.0956456895966404e-12
105,0.05607207491993904,0.05607207491993904,0.05607207491993904,1.0140142440795898,1.0140142440795898,1.0140142440795898,0.0,0.14489606022834778,0,1.0392914191470481e-05,True,1.6164577454347295e-09
110,0.056194968521595,0.056194968521595,0.056194968521595,1.014045000076294,1.014045000076294,1.014045000076294,0.0,0.15460412204265594,0,7.430384812323609e-06,True,9.751193602580699e-11
115,0.05610059201717377,0.05610059201717377,0.05610059201717377,1.014021396636963,1.014021396636963,1.014021396636963,0.0,0.16407036781311035,0,1.165373078038101e-06,True,1.099012547634004e-09
120,0.05606663599610329,0.05606663599610329,0.05606663599610329,1.0140130519866943,1.0140130519866943,1.0140130519866943,0.0,0.17301805317401886,0,2.800935362756718e-06,True,1.7123478190939068e-09
125,0.05609482526779175,0.05609482526779175,0.05609482526779175,1.0140199661254883,1.0140199661254883,1.0140199661254883,0.0,0.17651721835136414,0,3.6112942325416952e-06,True,1.1945534561519366e-09
130,0.056015744805336,0.056015744805336,0.056015744805336,1.0140002965927124,1.0140002965927124,1.0140002965927124,0.0,0.18665434420108795,0,1.3081348697596695e-06,True,2.9116706823373306e-09
135,0.05603967234492302,0.05603967234492302,0.05603967234492302,1.01400625705719,1.01400625705719,1.01400625705719,0.0,0.19439426064491272,0,4.357053057901794e-06,True,2.3119097747326123e-09
140,0.0559660978615284,0.0559660978615284,0.0559660978615284,1.0139878988265991,1.0139878988265991,1.0139878988265991,0.0,0.20682096481323242,0,2.2896347218193114e-07,True,4.3806265281887136e-09
145,0.05592719092965126,0.05592719092965126,0.05592719092965126,1.013978123664856,1.013978123664856,1.013978123664856,0.0,0.21212127804756165,0,1.7828224372351542e-06,True,5.749787312936405e-09
150,0.055858731269836426,0.055858731269836426,0.055858731269836426,1.0139610767364502,1.0139610767364502,1.0139610767364502,0.0,0.2206771969795227,0,6.756463335477747e-07,True,8.582093258269197e-09
155,0.055828679352998734,0.055828679352998734,0.055828679352998734,1.0139535665512085,1.0139535665512085,1.0139535665512085,0.0,0.2203766107559204,0,2.325764398847241e-06,True,1.0009281403711157e-08
160,0.05573301389813423,0.05573301389813423,0.05573301389813423,1.0139296054840088,1.0139296054840088,1.0139296054840088,0.0,0.23925146460533142,0,5.154406608198769e-07,True,1.5296192756864002e-08
