step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
100,-0.04193686321377754,0.08844204992055893,0.05638248473405838,0.989517331123352,1.0220961570739746,1.0140880346298218,0.00931266788393259,0.13676485419273376,0,1.752032379622515e-06,True,8.408526652736725e-11
105,-0.05488894507288933,0.09629412740468979,0.056466929614543915,0.9862812757492065,1.024055004119873,1.0141074657440186,0.011302303522825241,0.14385971426963806,0,1.9372611315668063e-06,True,9.613732032676126e-11
110,-0.06923177093267441,0.10580276697874069,0.056590285152196884,0.9826990365982056,1.026426076889038,1.0141359567642212,0.013576064258813858,0.15447737276554108,0,2.7133259242913217e-06,True,7.996936446375003e-11
115,-0.0859125629067421,0.11753728240728378,0.056743964552879333,0.9785350561141968,1.0293505191802979,1.0141713619232178,0.016211893409490585,0.16395388543605804,0,3.102363431338212e-06,True,1.4442719242779845e-10
120,-0.10514017194509506,0.13171516358852386,0.05692695826292038,0.9737391471862793,1.032881259918213,1.014212965965271,0.01925480365753174,0.1728336662054062,0,3.4912745681228198e-06,True,5.352274734526929e-10
125,-0.12586086988449097,0.14830633997917175,0.057234324514865875,0.9685763120651245,1.0370087623596191,1.014284372329712,0.022648286074399948,0.17674851417541504,0,3.917423557807254e-06,True,4.624322591517682e-10
130,-0.14767375588417053,0.16803205013275146,0.05752819776535034,0.9631484746932983,1.0419094562530518,1.0143508911132812,0.02634795568883419,0.18542151153087616,0,3.671243388157715e-06,True,1.8905674803448846e-09
135,-0.16929709911346436,0.19023479521274567,0.05796891450881958,0.9577765464782715,1.0474157333374023,1.0144522190093994,0.03013608232140541,0.1934608370065689,0,4.819259073216532e-06,True,2.1955504081461186e-09
140,-0.1916123330593109,0.2155209630727768,0.05847454071044922,0.9522429704666138,1.0536726713180542,1.014566421508789,0.034315500408411026,0.20602059364318848,0,5.353876841801102e-06,True,4.1269960782130966e-09
145,-0.21267648041248322,0.2423863261938095,0.0591694638133049,0.9470303654670715,1.060301661491394,1.014723300933838,0.038714662194252014,0.21215060353279114,0,5.942205888493889e-06,True,4.092844285707997e-09
150,-0.2363784909248352,0.27133694291114807,0.059954289346933365,0.9411790370941162,1.0674210786819458,1.0148969888687134,0.04356176033616066,0.21906708180904388,0,6.268355247172735e-06,True,7.098729604138043e-09
